day_local,branch_id,device_id,daily_active_production,daily_consumption,daily_energy_buy,daily_energy_sell
2025-12-12,4,2,50.7,110.4,50.6,0.0
2025-12-12,4,4,89.1,125.0,50.0,0.0
2025-12-13,4,2,50.7,111.8,53.4,0.0
2025-12-13,4,4,89.1,125.7,52.7,0.0
2025-12-14,4,2,48.5,103.3,49.1,0.0
2025-12-14,4,4,80.2,114.5,49.0,0.0
2025-12-15,4,2,44.2,105.3,51.6,0.0
2025-12-15,4,4,74.3,109.8,51.5,0.0
2025-12-16,4,2,44.2,106.1,60.0,0.0
2025-12-16,4,4,71.9,110.5,59.5,0.0
2025-12-17,4,2,47.8,100.2,63.3,0.0
2025-12-17,4,4,80.8,106.9,62.1,0.0
2025-12-18,4,2,47.8,97.5,42.8,0.0
2025-12-18,4,4,84.3,107.6,42.9,0.0
2025-12-19,4,2,47.7,119.3,61.1,0.0
2025-12-19,4,4,84.3,129.7,61.1,0.0
2025-12-20,4,2,47.7,120.1,63.9,0.0
2025-12-20,4,4,79.3,130.4,63.9,0.0
2025-12-21,4,2,44.3,109.2,60.3,0.0
2025-12-21,4,4,75.3,118.4,60.4,0.0
2025-12-22,4,2,44.3,100.9,48.5,0.0
2025-12-22,4,4,75.3,110.1,48.3,0.0
2025-12-23,4,2,40.9,84.0,19.0,0.0
2025-12-23,4,4,56.1,111.3,19.0,0.0
2025-12-24,4,2,47.9,118.1,66.8,0.0
2025-12-24,4,4,79.3,140.1,65.4,0.0
2025-12-25,4,2,55.2,118.1,70.0,0.0
2025-12-25,4,4,85.2,140.9,68.6,0.0
2025-12-26,4,2,55.2,112.1,48.9,0.0
2025-12-26,4,4,85.2,135.5,48.8,0.0
2025-12-27,4,2,38.8,112.1,0.0,0.0
2025-12-27,4,4,76.4,136.2,0.0,0.0
2025-12-28,4,2,45.4,112.4,0.0,0.0
2025-12-28,4,4,73.2,128.6,0.0,0.0
2025-12-29,4,2,45.4,112.7,0.0,0.0
2025-12-29,4,4,73.2,122.8,0.0,0.0
2025-12-30,4,2,62.3,116.1,0.0,0.0
2025-12-30,4,4,99.7,143.8,0.0,0.0
2025-12-31,4,2,62.3,117.7,0.0,0.0
2025-12-31,4,4,99.7,144.6,0.0,0.0
2026-01-01,4,2,52.2,107.5,0.0,0.0
2026-01-01,4,4,87.9,129.9,0.0,0.0
2026-01-02,4,2,52.2,96.0,0.0,0.0
2026-01-02,4,4,87.9,117.9,0.0,0.0
2026-01-03,4,2,55.1,109.3,0.0,0.0
2026-01-03,4,4,95.6,136.5,0.0,0.0
2026-01-04,4,2,55.1,110.0,0.0,0.0
2026-01-04,4,4,95.6,137.2,0.0,0.0
2026-01-05,4,2,45.1,84.9,0.0,0.0
2026-01-05,4,4,89.7,106.1,0.0,0.0
2026-01-06,4,2,50.8,93.2,0.0,0.0
2026-01-06,4,4,90.0,115.5,0.0,0.0
2026-01-08,4,2,0.0,18.7,0.0,0.0
2026-01-08,4,4,0.0,17.7,0.0,0.0
2026-01-09,4,2,44.0,33.0,0.0,0.0
2026-01-09,4,4,64.4,31.5,0.0,0.0
2026-01-10,4,2,44.0,33.0,0.0,0.0
2026-01-10,4,4,64.4,31.5,0.0,0.0
2026-01-11,4,2,20.7,80.2,0.0,0.0
2026-01-11,4,4,34.0,89.9,0.0,0.0
2026-01-12,4,2,43.7,90.4,0.0,0.0
2026-01-12,4,4,85.7,113.6,0.0,0.0
2026-01-13,4,2,43.7,91.8,0.0,0.0
2026-01-13,4,4,85.7,114.3,0.0,0.0
2026-01-14,4,2,51.3,88.2,0.0,0.0
2026-01-14,4,4,73.0,95.7,0.0,0.0
2026-01-15,4,2,60.7,102.8,0.0,0.0
2026-01-15,4,4,73.0,110.4,0.0,0.0
2026-01-16,4,2,62.1,104.7,0.0,0.0
2026-01-16,4,4,85.4,118.0,0.0,0.0
2026-01-17,4,2,62.1,105.4,0.0,0.0
2026-01-17,4,4,85.4,118.7,0.0,0.0
2026-01-18,4,2,63.4,93.0,0.0,0.0
2026-01-18,4,4,78.1,106.8,0.0,0.0
2026-01-19,4,2,64.0,109.0,0.0,0.0
2026-01-19,4,4,78.1,116.0,0.0,0.0
2026-01-20,4,2,64.0,109.8,0.0,0.0
2026-01-20,4,4,75.0,116.9,0.0,0.0
2026-01-21,4,2,41.3,74.3,0.0,0.0
2026-01-21,4,4,54.9,74.6,0.0,0.0
